,importance,stddev,p_value,n,p99_high,p99_low
P_TEMP_SURF,0.8450755975639807,0.0,0.5,5,0.8450755975639807,0.8450755975639807
P_FLUX_MIN,0.06730017694137444,0.024212696217638024,0.0017053870540900762,5,0.11715445310851694,0.017445900774231943
P_TEMP_EQUIL,0.06037876730584506,0.015149113437473473,0.0004381191375357361,5,0.09157100125660196,0.029186533355088154
P_FLUX_MAX,0.006655841869961621,0.014882914868723502,0.1869504831500295,5,0.03729996928840711,-0.023988285548483874
P_MASS,0.0,0.0,0.5,5,0.0,0.0
S_LOG_G,0.0,0.0,0.5,5,0.0,0.0
P_HILL_SPHERE,0.0,0.0,0.5,5,0.0,0.0
P_DENSITY,0.0,0.0,0.5,5,0.0,0.0
P_GRAVITY,0.0,0.0,0.5,5,0.0,0.0
P_POTENTIAL,0.0,0.0,0.5,5,0.0,0.0
P_ESCAPE,0.0,0.0,0.5,5,0.0,0.0
S_LOG_G_ERROR_MAX,0.0,0.0,0.5,5,0.0,0.0
S_LOG_LUM_ERROR_MAX,0.0,0.0,0.5,5,0.0,0.0
P_PERIASTRON,0.0,0.0,0.5,5,0.0,0.0
S_LOG_LUM_ERROR_MIN,0.0,0.0,0.5,5,0.0,0.0
S_LOG_LUM,0.0,0.0,0.5,5,0.0,0.0
S_AGE_LIMIT,0.0,0.0,0.5,5,0.0,0.0
S_AGE_ERROR_MAX,0.0,0.0,0.5,5,0.0,0.0
S_AGE_ERROR_MIN,0.0,0.0,0.5,5,0.0,0.0
S_AGE,0.0,0.0,0.5,5,0.0,0.0
S_METALLICITY_LIMIT,0.0,0.0,0.5,5,0.0,0.0
S_METALLICITY_ERROR_MAX,0.0,0.0,0.5,5,0.0,0.0
S_METALLICITY_ERROR_MIN,0.0,0.0,0.5,5,0.0,0.0
S_METALLICITY,0.0,0.0,0.5,5,0.0,0.0
P_DISTANCE,0.0,0.0,0.5,5,0.0,0.0
P_FLUX,0.0,0.0,0.5,5,0.0,0.0
P_APASTRON,0.0,0.0,0.5,5,0.0,0.0
S_HZ_OPT_MIN,0.0,0.0,0.5,5,0.0,0.0
S_TIDAL_LOCK,0.0,0.0,0.5,5,0.0,0.0
S_ABIO_ZONE,0.0,0.0,0.5,5,0.0,0.0
S_SNOW_LINE,0.0,0.0,0.5,5,0.0,0.0
S_HZ_CON1_MIN,0.0,0.0,0.5,5,0.0,0.0
S_HZ_CON0_MIN,0.0,0.0,0.5,5,0.0,0.0
S_HZ_CON_MAX,0.0,0.0,0.5,5,0.0,0.0
S_HZ_CON_MIN,0.0,0.0,0.5,5,0.0,0.0
S_HZ_OPT_MAX,0.0,0.0,0.5,5,0.0,0.0
S_LUMINOSITY,0.0,0.0,0.5,5,0.0,0.0
P_DISTANCE_EFF,0.0,0.0,0.5,5,0.0,0.0
S_DEC_TXT,0.0,0.0,0.5,5,0.0,0.0
S_RA_TXT,0.0,0.0,0.5,5,0.0,0.0
S_TYPE_TEMP,0.0,0.0,0.5,5,0.0,0.0
P_TEMP_SURF_MAX,0.0,0.0,0.5,5,0.0,0.0
P_TEMP_SURF_MIN,0.0,0.0,0.5,5,0.0,0.0
P_TEMP_EQUIL_MAX,0.0,0.0,0.5,5,0.0,0.0
P_TEMP_EQUIL_MIN,0.0,0.0,0.5,5,0.0,0.0
P_MASS_ERROR_MIN,0.0,0.0,0.5,5,0.0,0.0
S_RADIUS_ERROR_MAX,0.0,0.0,0.5,5,0.0,0.0
S_RADIUS_ERROR_MIN,0.0,0.0,0.5,5,0.0,0.0
S_RADIUS,0.0,0.0,0.5,5,0.0,0.0
P_PERIOD_LIMIT,0.0,0.0,0.5,5,0.0,0.0
P_INCLINATION,0.0,0.0,0.5,5,0.0,0.0
P_ECCENTRICITY_LIMIT,0.0,0.0,0.5,5,0.0,0.0
P_ECCENTRICITY_ERROR_MAX,0.0,0.0,0.5,5,0.0,0.0
P_ECCENTRICITY_ERROR_MIN,0.0,0.0,0.5,5,0.0,0.0
P_ECCENTRICITY,0.0,0.0,0.5,5,0.0,0.0
P_SEMI_MAJOR_AXIS_LIMIT,0.0,0.0,0.5,5,0.0,0.0
P_SEMI_MAJOR_AXIS_ERROR_MAX,0.0,0.0,0.5,5,0.0,0.0
P_SEMI_MAJOR_AXIS_ERROR_MIN,0.0,0.0,0.5,5,0.0,0.0
P_SEMI_MAJOR_AXIS,0.0,0.0,0.5,5,0.0,0.0
P_PERIOD_ERROR_MAX,0.0,0.0,0.5,5,0.0,0.0
S_MASS_ERROR_MAX,0.0,0.0,0.5,5,0.0,0.0
P_PERIOD_ERROR_MIN,0.0,0.0,0.5,5,0.0,0.0
P_PERIOD,0.0,0.0,0.5,5,0.0,0.0
P_RADIUS_LIMIT,0.0,0.0,0.5,5,0.0,0.0
P_RADIUS_ERROR_MAX,0.0,0.0,0.5,5,0.0,0.0
P_RADIUS_ERROR_MIN,0.0,0.0,0.5,5,0.0,0.0
P_RADIUS,0.0,0.0,0.5,5,0.0,0.0
P_MASS_ORIGIN,0.0,0.0,0.5,5,0.0,0.0
P_MASS_LIMIT,0.0,0.0,0.5,5,0.0,0.0
P_MASS_ERROR_MAX,0.0,0.0,0.5,5,0.0,0.0
P_INCLINATION_ERROR_MIN,0.0,0.0,0.5,5,0.0,0.0
P_INCLINATION_LIMIT,0.0,0.0,0.5,5,0.0,0.0
S_MAG_ERROR_MIN,0.0,0.0,0.5,5,0.0,0.0
S_MAG_ERROR_MAX,0.0,0.0,0.5,5,0.0,0.0
S_MASS_ERROR_MIN,0.0,0.0,0.5,5,0.0,0.0
S_MASS,0.0,0.0,0.5,5,0.0,0.0
S_TEMPERATURE_LIMIT,0.0,0.0,0.5,5,0.0,0.0
S_TEMPERATURE_ERROR_MAX,0.0,0.0,0.5,5,0.0,0.0
S_TEMPERATURE_ERROR_MIN,0.0,0.0,0.5,5,0.0,0.0
S_TEMPERATURE,0.0,0.0,0.5,5,0.0,0.0
S_DISTANCE_ERROR_MAX,0.0,0.0,0.5,5,0.0,0.0
S_DISTANCE_ERROR_MIN,0.0,0.0,0.5,5,0.0,0.0
S_DISTANCE,0.0,0.0,0.5,5,0.0,0.0
S_CONSTELLATION,0.0,0.0,0.5,5,0.0,0.0
P_OMEGA,0.0,0.0,0.5,5,0.0,0.0
S_MAG,0.0,0.0,0.5,5,0.0,0.0
S_DEC_STR,0.0,0.0,0.5,5,0.0,0.0
S_RA_STR,0.0,0.0,0.5,5,0.0,0.0
S_DEC,0.0,0.0,0.5,5,0.0,0.0
S_RA,0.0,0.0,0.5,5,0.0,0.0
S_TYPE,0.0,0.0,0.5,5,0.0,0.0
P_OMEGA_ERROR_MAX,0.0,0.0,0.5,5,0.0,0.0
P_OMEGA_ERROR_MIN,0.0,0.0,0.5,5,0.0,0.0
S_LOG_G_ERROR_MIN,-0.026231210617101385,0.014663692517988226,0.9919349550499538,5,0.003961534951205291,-0.05642395618540806
P_INCLINATION_ERROR_MAX,-0.03278901327137673,0.0,0.5,5,-0.03278901327137673,-0.03278901327137673
